AverageRainingDays,clonesize,AverageOfLowerTRange,AverageOfUpperTRange,honeybee,osmia,bumbles,andrena,yield
0.08000000000000002,0.08333333333333337,0.0,0.0,0.01356483993488877,0.6666666666666666,0.6495726495726496,0.6666666666666666,7357.4
1.0,0.08333333333333337,0.0,0.0,0.01356483993488877,1.0,0.4273504273504274,0.84,5596.2
1.0,0.9166666666666667,0.3129251700680271,0.3125,0.01356483993488877,0.3333333333333333,0.4273504273504274,0.3333333333333333,3269.3
0.4,0.5,0.0,0.0,0.02712967986977754,0.84,0.4273504273504274,0.6666666666666666,5337.0
0.4,0.5,0.3129251700680271,0.3125,0.02712967986977754,0.84,0.4273504273504274,0.5066666666666666,6115.9
0.66,0.08333333333333337,0.0,0.0,0.01356483993488877,1.0,0.6495726495726496,0.5066666666666666,7298.0
0.66,0.08333333333333337,0.0,0.0,0.01356483993488877,0.84,0.4273504273504274,0.84,6461.7
0.08000000000000002,0.08333333333333337,1.0,1.0,0.01356483993488877,0.6666666666666666,0.6495726495726496,0.84,8086.4
0.4,0.08333333333333337,1.0,1.0,0.01356483993488877,1.0,0.6495726495726496,0.5066666666666666,8166.6
0.4,0.08333333333333337,1.0,1.0,0.01356483993488877,1.0,0.6495726495726496,0.6666666666666666,8254.1
0.4,0.08333333333333337,1.0,1.0,0.01356483993488877,0.84,0.4273504273504274,0.6666666666666666,7163.9
0.66,0.08333333333333337,0.3129251700680271,0.3125,0.01356483993488877,0.84,0.4273504273504274,0.3333333333333333,6808.3
0.66,0.08333333333333337,1.0,1.0,0.01356483993488877,1.0,0.6495726495726496,0.5066666666666666,6071.2
0.08000000000000002,0.08333333333333337,0.6530612244897958,0.6586538461538463,0.01356483993488877,1.0,0.4273504273504274,0.5066666666666666,8357.1
0.08000000000000002,0.08333333333333337,0.0,0.0,0.01356483993488877,0.3333333333333333,0.4273504273504274,0.3333333333333333,6244.2
0.66,0.08333333333333337,0.0,0.0,0.01356483993488877,0.6666666666666666,0.4273504273504274,0.6666666666666666,6320.2
1.0,0.5,0.6530612244897958,0.6586538461538463,0.02712967986977754,0.84,0.4273504273504274,0.5066666666666666,3998.1
0.08000000000000002,0.08333333333333337,0.3129251700680271,0.3125,0.01356483993488877,1.0,0.4273504273504274,0.3333333333333333,8621.8
0.4,0.5,0.3129251700680271,0.3125,0.02712967986977754,1.0,0.4273504273504274,0.84,6493.6
