AverageRainingDays,clonesize,AverageOfLowerTRange,AverageOfUpperTRange,honeybee,osmia,bumbles,andrena
1.0,0.5,0.6530612244897958,0.6586538461538463,0.02712967986977754,0.6666666666666666,0.4273504273504274,0.84
0.08000000000000002,0.5,0.0,0.0,0.02712967986977754,0.6666666666666666,0.4273504273504274,0.6666666666666666
0.66,0.08333333333333337,1.0,1.0,0.01356483993488877,0.84,0.4273504273504274,0.3333333333333333
0.66,0.5,1.0,1.0,0.02712967986977754,1.0,0.4273504273504274,0.5066666666666666
0.4,0.5,0.6530612244897958,0.6586538461538463,0.02712967986977754,1.0,0.4273504273504274,0.5066666666666666
0.66,0.08333333333333337,1.0,1.0,0.01356483993488877,0.6666666666666666,0.4273504273504274,0.3333333333333333
0.08000000000000002,0.08333333333333337,1.0,1.0,0.01356483993488877,1.0,0.6495726495726496,0.5066666666666666
1.0,0.08333333333333337,0.6530612244897958,0.6586538461538463,0.01356483993488877,0.84,0.4273504273504274,0.84
0.08000000000000002,0.5,0.3129251700680271,0.3125,0.02712967986977754,0.84,0.4273504273504274,0.84
0.08000000000000002,0.08333333333333337,0.6530612244897958,0.6586538461538463,0.01356483993488877,0.6666666666666666,0.4273504273504274,0.84
0.66,0.08333333333333337,1.0,1.0,0.01356483993488877,0.6666666666666666,0.4273504273504274,0.84
0.08000000000000002,0.08333333333333337,0.3129251700680271,0.3125,0.01356483993488877,1.0,0.6495726495726496,0.5066666666666666
0.08000000000000002,0.08333333333333337,0.0,0.0,0.01356483993488877,0.84,0.4273504273504274,0.5066666666666666
1.0,0.08333333333333337,1.0,1.0,0.01356483993488877,0.6666666666666666,0.6495726495726496,0.5066666666666666
0.66,0.5,1.0,1.0,0.02712967986977754,1.0,0.4273504273504274,0.6666666666666666
0.66,0.5,1.0,1.0,0.02712967986977754,0.6666666666666666,0.4273504273504274,0.6666666666666666
0.66,0.08333333333333337,0.6530612244897958,0.6586538461538463,0.01356483993488877,1.0,0.6495726495726496,0.5066666666666666
1.0,0.5,0.3129251700680271,0.3125,0.02712967986977754,0.84,0.6495726495726496,0.6666666666666666
0.66,0.08333333333333337,1.0,1.0,0.01356483993488877,1.0,0.4273504273504274,0.6666666666666666
0.08000000000000002,0.08333333333333337,1.0,1.0,0.01356483993488877,0.84,0.4273504273504274,1.0
0.4,0.5,0.0,0.0,0.02712967986977754,1.0,0.4273504273504274,0.6666666666666666
0.4,0.5,1.0,1.0,0.01356483993488877,0.3333333333333333,0.4273504273504274,0.3333333333333333
0.08000000000000002,0.08333333333333337,0.0,0.0,0.01356483993488877,1.0,0.6495726495726496,0.5066666666666666
1.0,0.5,1.0,1.0,0.02712967986977754,0.6666666666666666,0.4273504273504274,0.84
1.0,0.08333333333333337,1.0,1.0,0.01356483993488877,1.0,0.4273504273504274,0.84
0.08000000000000002,0.08333333333333337,1.0,1.0,0.01356483993488877,0.6666666666666666,0.6495726495726496,0.5066666666666666
